cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
2546,3,258,251,Preg,10,281,91,258,-1.0,-1.0,-1.0,-1,22256,-1,60,280,HO,146,1021
2547,3,359,0,Open,10,-1,0,358,74.0,4.0,3.4,-1,32813,-1,60,280,HO,263,1072
2550,3,242,78,Preg,10,281,0,241,84.0,3.3,3.0,-1,31526,-1,60,280,HO,211,800
2552,3,352,0,Open,10,-1,0,351,40.0,3.0,3.0,-1,31387,-1,60,280,HO,73,275
2554,3,234,159,Preg,10,281,0,233,68.0,4.5,3.4,-1,28453,-1,60,280,HO,254,438
2558,3,205,38,Bred,5,281,0,204,76.0,4.5,3.4,-1,23731,-1,60,280,HO,10,241
2559,4,42,0,Open,10,-1,0,41,104.0,4.2,3.4,-1,-1,-1,60,280,HO,62,1152
2560,4,71,0,Open,10,-1,0,70,104.0,2.9,2.6,-1,24779,-1,60,280,HO,210,639
2562,3,350,241,Preg,10,281,28,350,-1.0,-1.0,-1.0,-1,31219,-1,60,280,HO,279,251
2563,3,327,271,Preg,10,281,56,327,-1.0,-1.0,-1.0,-1,20625,-1,60,280,HO,-81,357
2568,3,258,164,Preg,10,281,0,257,60.0,3.9,3.2,-1,24711,-1,60,280,HO,192,116
2569,3,296,222,Preg,10,281,0,295,22.0,3.5,3.5,-1,27131,-1,60,280,HO,156,744
2570,4,297,236,Preg,10,281,14,297,-1.0,-1.0,-1.0,-1,26982,-1,60,280,HO,51,787
2575,3,371,271,Preg,10,281,49,371,-1.0,-1.0,-1.0,-1,29586,-1,60,280,HO,194,845
2576,3,252,180,Preg,10,281,0,251,36.0,3.6,2.8,-1,22558,-1,60,280,HO,156,900
2581,3,45,0,Open,10,-1,0,44,112.0,3.2,3.2,-1,-1,-1,60,280,HO,70,869
