Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
2762,3,227,129,,152,,P,226,76,3.8,3.1,,31322,A,2,HO,257,
2763,3,260,166,,115,,P,259,60,3.5,2.8,,28601,B,2,HO,183,
2765,3,268,71,,210,,P,267,72,3.7,3.3,,25769,B,2,HO,233,
2767,3,270,194,,87,,P,269,20,3.2,3.1,,21585,E,2,HO,,
2774,3,184,89,,192,,P,183,76,2.5,2.8,,25013,D,2,HO,,36
2775,3,181,38,5,245,,,180,92,3.1,2.9,,30813,A,2,XX,173,
2777,3,160,33,10,248,,,159,100,3,2.8,,28618,B,2,HO,54,
2780,3,263,187,,96,,P,262,48,3.8,3.2,,25473,B,2,XX,114,
2782,2,384,230,,51,28,P,384,,,,,31595,A,1,HO,309,
2790,2,451,279,,2,63,P,451,,,,,33710,A,1,HO,263,
2791,2,318,282,,-1,63,P,318,,,,,25799,C,1,HO,32,
2795,3,237,24,19,257,,,236,88,3,3.4,,30774,B,2,HO,235,
2799,3,108,33,10,248,,,107,100,2.9,2.8,,26359,C,2,HO,39,
2800,3,296,222,,59,,P,295,2,3.3,3.6,,28196,C,2,HO,,
2880,3,237,166,,115,,P,236,108,3,2.8,,32604,B,2,HO,208,
2911,4,100,27,16,254,,,99,80,4.4,3.1,,14319,E,2,HO,59,
2922,3,39,,,,,,38,108,3.6,3.3,,,,2,HO,156,
2966,4,47,,,,,,46,90,3,3.1,,,,2,HO,-47,
